number,date_time,temp,RH,site,treatment
2773,8/9/2017 0:00,58.195,89.234,1,medium shade corn
2774,8/9/2017 0:30,57.031,89.947,1,medium shade corn
2775,8/9/2017 1:00,56.079,90.473,1,medium shade corn
2776,8/9/2017 1:30,55.213,90.668,1,medium shade corn
2777,8/9/2017 2:00,54.3,91.453,1,medium shade corn
2778,8/9/2017 2:30,53.602,92.003,1,medium shade corn
2779,8/9/2017 3:00,52.992,91.788,1,medium shade corn
2780,8/9/2017 3:30,52.335,92.186,1,medium shade corn
2781,8/9/2017 4:00,51.94,92.619,1,medium shade corn
2782,8/9/2017 4:30,51.764,93.107,1,medium shade corn
2783,8/9/2017 5:00,51.589,93.287,1,medium shade corn
2784,8/9/2017 5:30,51.721,93.843,1,medium shade corn
2785,8/9/2017 6:00,51.544,93.639,1,medium shade corn
2786,8/9/2017 6:30,51.237,93.951,1,medium shade corn
2787,8/9/2017 7:00,51.764,94.411,1,medium shade corn
2788,8/9/2017 7:30,54.082,95.286,1,medium shade corn
2789,8/9/2017 8:00,57.247,95.135,1,medium shade corn
2790,8/9/2017 8:30,61.633,92.43,1,medium shade corn
2791,8/9/2017 9:00,67.071,83.113,1,medium shade corn
2792,8/9/2017 9:30,70.887,76.416,1,medium shade corn
2793,8/9/2017 10:00,74.511,70.062,1,medium shade corn
2794,8/9/2017 10:30,78.076,62.511,1,medium shade corn
2795,8/9/2017 11:00,81.066,57.881,1,medium shade corn
2796,8/9/2017 11:30,83.422,53.877,1,medium shade corn
2797,8/9/2017 12:00,88.534,45.61,1,medium shade corn
2798,8/9/2017 12:30,87.757,43.02,1,medium shade corn
2799,8/9/2017 13:00,82.175,42.704,1,medium shade corn
2800,8/9/2017 13:30,93.564,33.749,1,medium shade corn
2801,8/9/2017 14:00,92.291,31.971,1,medium shade corn
2802,8/9/2017 14:30,94.419,32.279,1,medium shade corn
2803,8/9/2017 15:00,93.564,32.72,1,medium shade corn
2804,8/9/2017 15:30,88.259,37.14,1,medium shade corn
2805,8/9/2017 16:00,87.21,38.191,1,medium shade corn
2806,8/9/2017 16:30,87.255,35.603,1,medium shade corn
2807,8/9/2017 17:00,88.03,37.33,1,medium shade corn
2808,8/9/2017 17:30,84.542,38.909,1,medium shade corn
2809,8/9/2017 18:00,85.127,37.773,1,medium shade corn
2810,8/9/2017 18:30,82.841,41.659,1,medium shade corn
2811,8/9/2017 19:00,81.597,43.061,1,medium shade corn
2812,8/9/2017 19:30,78.996,48.082,1,medium shade corn
2813,8/9/2017 20:00,75.985,53.927,1,medium shade corn
2814,8/9/2017 20:30,72.869,65.544,1,medium shade corn
2815,8/9/2017 21:00,69.858,73.907,1,medium shade corn
2816,8/9/2017 21:30,66.857,79.986,1,medium shade corn
2817,8/9/2017 22:00,64.888,84.029,1,medium shade corn
2818,8/9/2017 22:30,63.347,86.076,1,medium shade corn
2819,8/9/2017 23:00,61.804,87.929,1,medium shade corn
2820,8/9/2017 23:30,60.604,88.065,1,medium shade corn
2821,8/10/2017 0:00,59.616,88.841,1,medium shade corn
2822,8/10/2017 0:30,58.455,89.984,1,medium shade corn
2823,8/10/2017 1:00,57.506,89.854,1,medium shade corn
2824,8/10/2017 1:30,57.074,90.952,1,medium shade corn
2825,8/10/2017 2:00,56.165,90.879,1,medium shade corn
2826,8/10/2017 2:30,55.863,90.941,1,medium shade corn
2827,8/10/2017 3:00,55.776,91.713,1,medium shade corn
