number,date_time,temp,RH,site,block,treatment,
1,6/12/2017 8:00,69.557,38.214,CBE,1,bare,
2,6/12/2017 8:30,70.243,37.403,CBE,1,bare,
3,6/12/2017 9:00,67.114,42.854,CBE,1,bare,
4,6/12/2017 9:30,69.343,47.912,CBE,1,bare,
5,6/12/2017 10:00,79.743,52.609,CBE,1,bare,
6,6/12/2017 10:30,85.622,50.359,CBE,1,bare,
7,6/12/2017 11:00,88.626,48.79,CBE,1,bare,
8,6/12/2017 11:30,91.216,46.248,CBE,1,bare,
9,6/12/2017 12:00,93.612,43.219,CBE,1,bare,
10,6/12/2017 12:30,91.076,44.19,CBE,1,bare,
11,6/12/2017 13:00,97.794,38.921,CBE,1,bare,
12,6/12/2017 13:30,95.088,42.642,CBE,1,bare,
13,6/12/2017 14:00,93.045,43.25,CBE,1,bare,
14,6/12/2017 14:30,95.184,39.89,CBE,1,bare,
15,6/12/2017 15:00,95.279,40.132,CBE,1,bare,
16,6/12/2017 15:30,95.472,40.041,CBE,1,bare,
17,6/12/2017 16:00,95.472,38.892,CBE,1,bare,
18,6/12/2017 16:30,95.952,38.58,CBE,1,bare,
19,6/12/2017 17:00,95.184,38.469,CBE,1,bare,
20,6/12/2017 17:30,95.374,39.292,CBE,1,bare,
21,6/12/2017 18:00,96.917,37.477,CBE,1,bare,
22,6/12/2017 18:30,96.096,36.546,CBE,1,bare,
23,6/12/2017 19:00,93.992,39.214,CBE,1,bare,
24,6/12/2017 19:30,94.134,39.087,CBE,1,bare,
25,6/12/2017 20:00,92.763,40.086,CBE,1,bare,
26,6/12/2017 20:30,89.546,46.925,CBE,1,bare,
27,6/12/2017 21:00,77.421,72.436,CBE,1,bare,
28,6/12/2017 21:30,73.818,78.816,CBE,1,bare,
29,6/12/2017 22:00,71.877,85.325,CBE,1,bare,
30,6/12/2017 22:30,71.577,85.814,CBE,1,bare,
31,6/12/2017 23:00,70.543,88.216,CBE,1,bare,
32,6/12/2017 23:30,71.447,88.69,CBE,1,bare,
33,6/13/2017 0:00,71.317,88.892,CBE,1,bare,
34,6/13/2017 0:30,74.163,78.139,CBE,1,bare,
35,6/13/2017 1:00,75.204,72.055,CBE,1,bare,
36,6/13/2017 1:30,72.264,79.549,CBE,1,bare,
37,6/13/2017 2:00,70.459,83.504,CBE,1,bare,
38,6/13/2017 2:30,70.072,84.375,CBE,1,bare,
39,6/13/2017 3:00,69.256,85.574,CBE,1,bare,
40,6/13/2017 3:30,68.785,87.875,CBE,1,bare,
