number,date_time,temp,RH,site,block,treatment
107,6/14/2017 13:00,90.379,55.764,CBE,1,soy
108,6/14/2017 13:30,91.495,50.069,CBE,1,soy
109,6/14/2017 14:00,92.856,49.055,CBE,1,soy
110,6/14/2017 14:30,95.279,44.725,CBE,1,soy
111,6/14/2017 15:00,89.87,53.511,CBE,1,soy
112,6/14/2017 15:30,94.8,45.326,CBE,1,soy
113,6/14/2017 16:00,91.17,50.762,CBE,1,soy
114,6/14/2017 16:30,90.612,51.468,CBE,1,soy
115,6/14/2017 17:00,91.589,47.721,CBE,1,soy
116,6/14/2017 17:30,91.402,46.326,CBE,1,soy
117,6/14/2017 18:00,86.211,57.555,CBE,1,soy
118,6/14/2017 18:30,84.9,58.893,CBE,1,soy
119,6/14/2017 19:00,84.272,60.683,CBE,1,soy
120,6/14/2017 19:30,81.554,65.584,CBE,1,soy
121,6/14/2017 20:00,80.184,67.88,CBE,1,soy
122,6/14/2017 20:30,78.865,71.015,CBE,1,soy
123,6/14/2017 21:00,78.777,70.857,CBE,1,soy
124,6/14/2017 21:30,67.114,95,CBE,1,soy
125,6/14/2017 22:00,67.158,96.451,CBE,1,soy
126,6/14/2017 22:30,67.543,97.24,CBE,1,soy
127,6/14/2017 23:00,67.285,97.541,CBE,1,soy
128,6/14/2017 23:30,67.456,97.958,CBE,1,soy
129,6/15/2017 0:00,67.199,98.231,CBE,1,soy
130,6/15/2017 0:30,67.285,98.426,CBE,1,soy
131,6/15/2017 1:00,67.757,98.652,CBE,1,soy
132,6/15/2017 1:30,68.27,98.781,CBE,1,soy
133,6/15/2017 2:00,68.099,98.807,CBE,1,soy
134,6/15/2017 2:30,68.27,98.988,CBE,1,soy
135,6/15/2017 3:00,67.543,99.112,CBE,1,soy
136,6/15/2017 3:30,67.543,99.216,CBE,1,soy
137,6/15/2017 4:00,67.5,99.287,CBE,1,soy
138,6/15/2017 4:30,67.627,99.358,CBE,1,soy
139,6/15/2017 5:00,67.329,99.158,CBE,1,soy
140,6/15/2017 5:30,66.9,99.404,CBE,1,soy
141,6/15/2017 6:00,65.273,99.364,CBE,1,soy
142,6/15/2017 6:30,66.173,99.603,CBE,1,soy
143,6/15/2017 7:00,66.943,99.513,CBE,1,soy
144,6/15/2017 7:30,68.013,98.976,CBE,1,soy
145,6/15/2017 8:00,69.471,98.282,CBE,1,soy
146,6/15/2017 8:30,71.231,95.271,CBE,1,soy
147,6/15/2017 9:00,74.597,92.412,CBE,1,soy
