number,date_time,temp,RH,site,treatment
2755,8/9/2017 0:00,58.541,89.36,1,full shade corn
2756,8/9/2017 0:30,57.463,90.323,1,full shade corn
2757,8/9/2017 1:00,56.599,91.253,1,full shade corn
2758,8/9/2017 1:30,55.69,90.865,1,full shade corn
2759,8/9/2017 2:00,54.561,91.438,1,full shade corn
2760,8/9/2017 2:30,53.951,91.768,1,full shade corn
2761,8/9/2017 3:00,53.384,92.128,1,full shade corn
2762,8/9/2017 3:30,52.903,92.55,1,full shade corn
2763,8/9/2017 4:00,52.335,93.086,1,full shade corn
2764,8/9/2017 4:30,52.203,93.58,1,full shade corn
2765,8/9/2017 5:00,51.895,93.741,1,full shade corn
2766,8/9/2017 5:30,52.072,94.175,1,full shade corn
2767,8/9/2017 6:00,51.94,94.054,1,full shade corn
2768,8/9/2017 6:30,51.633,94.213,1,full shade corn
2769,8/9/2017 7:00,51.984,94.774,1,full shade corn
2770,8/9/2017 7:30,54.169,95.834,1,full shade corn
2771,8/9/2017 8:00,57.16,95.842,1,full shade corn
2772,8/9/2017 8:30,61.162,94.016,1,full shade corn
2773,8/9/2017 9:00,65.872,86.622,1,full shade corn
2774,8/9/2017 9:30,70.243,78.26,1,full shade corn
2775,8/9/2017 10:00,73.861,71.473,1,full shade corn
2776,8/9/2017 10:30,77.247,65.873,1,full shade corn
2777,8/9/2017 11:00,79.788,62.051,1,full shade corn
2778,8/9/2017 11:30,82.708,56.951,1,full shade corn
2779,8/9/2017 12:00,84.9,53.546,1,full shade corn
2780,8/9/2017 12:30,85.442,47.755,1,full shade corn
2781,8/9/2017 13:00,82.886,46.215,1,full shade corn
2782,8/9/2017 13:30,91.636,36.648,1,full shade corn
2783,8/9/2017 14:00,91.123,35.263,1,full shade corn
2784,8/9/2017 14:30,92.48,35.129,1,full shade corn
2785,8/9/2017 15:00,91.636,36.003,1,full shade corn
2786,8/9/2017 15:30,88.167,37.741,1,full shade corn
2787,8/9/2017 16:00,86.527,39.457,1,full shade corn
2788,8/9/2017 16:30,86.844,38.037,1,full shade corn
2789,8/9/2017 17:00,86.844,38.706,1,full shade corn
2790,8/9/2017 17:30,84.182,39.787,1,full shade corn
2791,8/9/2017 18:00,84.452,38.937,1,full shade corn
2792,8/9/2017 18:30,82.931,42.455,1,full shade corn
2793,8/9/2017 19:00,81.466,43.381,1,full shade corn
2794,8/9/2017 19:30,79.084,47.509,1,full shade corn
2795,8/9/2017 20:00,75.985,54.304,1,full shade corn
2796,8/9/2017 20:30,73.342,65.799,1,full shade corn
2797,8/9/2017 21:00,70.243,73.92,1,full shade corn
2798,8/9/2017 21:30,67.199,80.532,1,full shade corn
2799,8/9/2017 22:00,65.145,84.749,1,full shade corn
2800,8/9/2017 22:30,63.518,87.103,1,full shade corn
2801,8/9/2017 23:00,62.233,88.363,1,full shade corn
2802,8/9/2017 23:30,60.733,88.912,1,full shade corn
2803,8/10/2017 0:00,59.702,89.465,1,full shade corn
2804,8/10/2017 0:30,58.928,90.445,1,full shade corn
2805,8/10/2017 1:00,57.807,90.344,1,full shade corn
2806,8/10/2017 1:30,57.592,91.418,1,full shade corn
2807,8/10/2017 2:00,56.599,91.227,1,full shade corn
2808,8/10/2017 2:30,56.079,92.12,1,full shade corn
