number,date_time,temp,RH,site,treatment
2773,8/9/2017 0:00,57.376,94.406,LUX,medium shade corn
2774,8/9/2017 0:30,56.642,94.583,LUX,medium shade corn
2775,8/9/2017 1:00,55.776,95.33,LUX,medium shade corn
2776,8/9/2017 1:30,56.295,95.996,LUX,medium shade corn
2777,8/9/2017 2:00,55.342,95.267,LUX,medium shade corn
2778,8/9/2017 2:30,54.734,96.045,LUX,medium shade corn
2779,8/9/2017 3:00,55.081,96.377,LUX,medium shade corn
2780,8/9/2017 3:30,54.691,96.573,LUX,medium shade corn
2781,8/9/2017 4:00,55.213,97.133,LUX,medium shade corn
2782,8/9/2017 4:30,55.906,96.881,LUX,medium shade corn
2783,8/9/2017 5:00,55.733,96.855,LUX,medium shade corn
2784,8/9/2017 5:30,55.776,97.217,LUX,medium shade corn
2785,8/9/2017 6:00,55.429,96.505,LUX,medium shade corn
2786,8/9/2017 6:30,54.995,96.948,LUX,medium shade corn
2787,8/9/2017 7:00,54.865,97.182,LUX,medium shade corn
2788,8/9/2017 7:30,56.944,97.647,LUX,medium shade corn
2789,8/9/2017 8:00,66.985,93.924,LUX,medium shade corn
2790,8/9/2017 8:30,72.869,89.946,LUX,medium shade corn
2791,8/9/2017 9:00,79.261,76.016,LUX,medium shade corn
2792,8/9/2017 9:30,78.559,69.341,LUX,medium shade corn
2793,8/9/2017 10:00,83.422,58.893,LUX,medium shade corn
2794,8/9/2017 10:30,85.802,50.888,LUX,medium shade corn
2795,8/9/2017 11:00,89.593,46.272,LUX,medium shade corn
2796,8/9/2017 11:30,90.1,44.128,LUX,medium shade corn
2797,8/9/2017 12:00,87.847,42.992,LUX,medium shade corn
2798,8/9/2017 12:30,94.467,35.607,LUX,medium shade corn
2799,8/9/2017 13:00,95.999,34.145,LUX,medium shade corn
2800,8/9/2017 13:30,95.472,33.466,LUX,medium shade corn
2801,8/9/2017 14:00,98.429,31.501,LUX,medium shade corn
2802,8/9/2017 14:30,93.092,35.229,LUX,medium shade corn
2803,8/9/2017 15:00,93.092,35.297,LUX,medium shade corn
2804,8/9/2017 15:30,94.944,33.406,LUX,medium shade corn
2805,8/9/2017 16:00,94.849,36.548,LUX,medium shade corn
2806,8/9/2017 16:30,92.527,36.967,LUX,medium shade corn
2807,8/9/2017 17:00,92.057,35.243,LUX,medium shade corn
2808,8/9/2017 17:30,84.004,43.114,LUX,medium shade corn
2809,8/9/2017 18:00,80.625,48.711,LUX,medium shade corn
2810,8/9/2017 18:30,79.7,50.6,LUX,medium shade corn
2811,8/9/2017 19:00,77.902,54.487,LUX,medium shade corn
2812,8/9/2017 19:30,76.289,59.833,LUX,medium shade corn
2813,8/9/2017 20:00,76.55,60.163,LUX,medium shade corn
2814,8/9/2017 20:30,73.861,65.789,LUX,medium shade corn
2815,8/9/2017 21:00,67.158,79.063,LUX,medium shade corn
2816,8/9/2017 21:30,63.946,86.072,LUX,medium shade corn
2817,8/9/2017 22:00,62.406,89.912,LUX,medium shade corn
2818,8/9/2017 22:30,61.333,91.491,LUX,medium shade corn
2819,8/9/2017 23:00,60.517,92.642,LUX,medium shade corn
2820,8/9/2017 23:30,59.916,93.812,LUX,medium shade corn
2821,8/10/2017 0:00,59.315,94.401,LUX,medium shade corn
2822,8/10/2017 0:30,58.798,94.119,LUX,medium shade corn
2823,8/10/2017 1:00,58.109,95.055,LUX,medium shade corn
2824,8/10/2017 1:30,57.85,95.686,LUX,medium shade corn
2825,8/10/2017 2:00,57.42,95.931,LUX,medium shade corn
2826,8/10/2017 2:30,57.506,96.046,LUX,medium shade corn
2827,8/10/2017 3:00,57.979,96.731,LUX,medium shade corn
2828,8/10/2017 3:30,57.807,96.501,LUX,medium shade corn
2829,8/10/2017 4:00,57.722,96.539,LUX,medium shade corn
2830,8/10/2017 4:30,57.376,96.335,LUX,medium shade corn
2831,8/10/2017 5:00,57.42,96.954,LUX,medium shade corn
2832,8/10/2017 5:30,56.208,96.952,LUX,medium shade corn
2833,8/10/2017 6:00,55.602,97.496,LUX,medium shade corn
2834,8/10/2017 6:30,56.599,96.934,LUX,medium shade corn
2835,8/10/2017 7:00,57.074,97.26,LUX,medium shade corn
2836,8/10/2017 7:30,59.659,97.288,LUX,medium shade corn
2837,8/10/2017 8:00,62.276,96.44,LUX,medium shade corn
2838,8/10/2017 8:30,67.413,92.122,LUX,medium shade corn
2839,8/10/2017 9:00,68.056,86.604,LUX,medium shade corn
2840,8/10/2017 9:30,69.728,80.553,LUX,medium shade corn
2841,8/10/2017 10:00,78.033,65.342,LUX,medium shade corn
2842,8/10/2017 10:30,82.976,52.983,LUX,medium shade corn
2843,8/10/2017 11:00,88.351,45.598,LUX,medium shade corn
2844,8/10/2017 11:30,87.985,40.809,LUX,medium shade corn
2845,8/10/2017 12:00,92.48,34.31,LUX,medium shade corn
2846,8/10/2017 12:30,87.802,39.865,LUX,medium shade corn
2847,8/10/2017 13:00,93.092,34.614,LUX,medium shade corn
2848,8/10/2017 13:30,85.802,39.315,LUX,medium shade corn
2849,8/10/2017 14:00,94.753,32.295,LUX,medium shade corn
2850,8/10/2017 14:30,93.423,34.495,LUX,medium shade corn
2851,8/10/2017 15:00,97.063,29.248,LUX,medium shade corn
2852,8/10/2017 15:30,93.659,29.792,LUX,medium shade corn
2853,8/10/2017 16:00,92.291,31.284,LUX,medium shade corn
2854,8/10/2017 16:30,91.17,33.014,LUX,medium shade corn
2855,8/10/2017 17:00,90.286,33.995,LUX,medium shade corn
