number,date_time,temp,RH,site,block,treatment
1,6/12/2017 8:00,70.286,33.087,CBE,1,corn
2,6/12/2017 8:01,70.329,33.122,CBE,1,corn
3,6/12/2017 8:02,70.372,33.191,CBE,1,corn
4,6/12/2017 8:03,70.416,33.226,CBE,1,corn
5,6/12/2017 8:04,70.459,33.295,CBE,1,corn
6,6/12/2017 8:05,70.543,33.366,CBE,1,corn
7,6/12/2017 8:06,70.587,33.467,CBE,1,corn
8,6/12/2017 8:07,70.673,33.472,CBE,1,corn
9,6/12/2017 8:08,70.716,33.606,CBE,1,corn
10,6/12/2017 8:09,70.803,33.677,CBE,1,corn
11,6/12/2017 8:10,70.887,33.781,CBE,1,corn
12,6/12/2017 8:11,70.974,34.547,CBE,1,corn
13,6/12/2017 8:12,71.103,34.884,CBE,1,corn
14,6/12/2017 8:13,71.274,35.62,CBE,1,corn
15,6/12/2017 8:14,71.447,35.629,CBE,1,corn
16,6/12/2017 8:15,71.533,35.501,CBE,1,corn
17,6/12/2017 8:16,71.62,35.506,CBE,1,corn
18,6/12/2017 8:17,71.661,35.475,CBE,1,corn
19,6/12/2017 8:18,71.704,35.478,CBE,1,corn
20,6/12/2017 8:19,71.704,35.511,CBE,1,corn
21,6/12/2017 8:20,71.748,35.579,CBE,1,corn
22,6/12/2017 8:21,71.791,35.614,CBE,1,corn
23,6/12/2017 8:22,71.791,35.713,CBE,1,corn
24,6/12/2017 8:23,71.791,35.713,CBE,1,corn
25,6/12/2017 8:24,71.748,35.645,CBE,1,corn
26,6/12/2017 8:25,71.661,35.607,CBE,1,corn
27,6/12/2017 8:26,71.577,35.57,CBE,1,corn
28,6/12/2017 8:27,71.49,35.499,CBE,1,corn
29,6/12/2017 8:28,71.361,35.393,CBE,1,corn
30,6/12/2017 8:29,71.19,35.285,CBE,1,corn
31,6/12/2017 8:30,70.974,35.274,CBE,1,corn
32,6/12/2017 8:31,70.803,35.264,CBE,1,corn
33,6/12/2017 8:32,70.587,35.319,CBE,1,corn
34,6/12/2017 8:33,70.372,35.373,CBE,1,corn
35,6/12/2017 8:34,70.201,35.43,CBE,1,corn
36,6/12/2017 8:35,70.029,35.52,CBE,1,corn
37,6/12/2017 8:36,69.858,35.576,CBE,1,corn
38,6/12/2017 8:37,69.685,35.567,CBE,1,corn
39,6/12/2017 8:38,69.471,35.72,CBE,1,corn
40,6/12/2017 8:39,69.343,35.91,CBE,1,corn
41,6/12/2017 8:40,69.213,36.034,CBE,1,corn
42,6/12/2017 8:41,69.085,36.159,CBE,1,corn
43,6/12/2017 8:42,68.999,36.285,CBE,1,corn
44,6/12/2017 8:43,68.956,36.414,CBE,1,corn
45,6/12/2017 8:44,68.913,36.608,CBE,1,corn
46,6/12/2017 8:45,68.913,36.739,CBE,1,corn
47,6/12/2017 8:46,68.871,36.803,CBE,1,corn
48,6/12/2017 8:47,68.871,36.868,CBE,1,corn
49,6/12/2017 8:48,68.871,36.901,CBE,1,corn
50,6/12/2017 8:49,68.871,36.999,CBE,1,corn
51,6/12/2017 8:50,68.871,37.064,CBE,1,corn
52,6/12/2017 8:51,68.913,37.067,CBE,1,corn
53,6/12/2017 8:52,68.913,37.067,CBE,1,corn
54,6/12/2017 8:53,68.871,36.999,CBE,1,corn
55,6/12/2017 8:54,68.871,36.999,CBE,1,corn
56,6/12/2017 8:55,68.828,36.997,CBE,1,corn
57,6/12/2017 8:56,68.828,37.062,CBE,1,corn
58,6/12/2017 8:57,68.828,37.095,CBE,1,corn
59,6/12/2017 8:58,68.828,37.127,CBE,1,corn
60,6/12/2017 8:59,68.785,37.19,CBE,1,corn
61,6/12/2017 9:00,68.785,37.256,CBE,1,corn
62,6/12/2017 9:01,68.828,37.324,CBE,1,corn
63,6/12/2017 9:02,68.828,37.389,CBE,1,corn
64,6/12/2017 9:03,68.828,37.454,CBE,1,corn
65,6/12/2017 9:04,68.828,37.52,CBE,1,corn
66,6/12/2017 9:05,68.828,37.585,CBE,1,corn
67,6/12/2017 9:06,68.871,37.653,CBE,1,corn
68,6/12/2017 9:07,68.913,37.753,CBE,1,corn
69,6/12/2017 9:08,68.913,37.884,CBE,1,corn
