number,date_time,temp,RH,site,treatment
2437,8/9/2017 0:00,57.247,94.929,LUX,full shade corn
2438,8/9/2017 0:30,56.815,95.329,LUX,full shade corn
2439,8/9/2017 1:00,55.863,95.497,LUX,full shade corn
2440,8/9/2017 1:30,56.208,96.391,LUX,full shade corn
2441,8/9/2017 2:00,55.342,95.931,LUX,full shade corn
2442,8/9/2017 2:30,54.82,96.414,LUX,full shade corn
2443,8/9/2017 3:00,55.125,96.917,LUX,full shade corn
2444,8/9/2017 3:30,54.952,97.043,LUX,full shade corn
2445,8/9/2017 4:00,55.125,97.424,LUX,full shade corn
2446,8/9/2017 4:30,55.906,97.313,LUX,full shade corn
2447,8/9/2017 5:00,55.863,97.078,LUX,full shade corn
2448,8/9/2017 5:30,55.819,97.503,LUX,full shade corn
2449,8/9/2017 6:00,55.906,96.321,LUX,full shade corn
2450,8/9/2017 6:30,55.342,96.746,LUX,full shade corn
2451,8/9/2017 7:00,55.038,97.259,LUX,full shade corn
2452,8/9/2017 7:30,56.772,97.773,LUX,full shade corn
2453,8/9/2017 8:00,59.916,95.732,LUX,full shade corn
2454,8/9/2017 8:30,67.714,90.337,LUX,full shade corn
2455,8/9/2017 9:00,81.597,66.502,LUX,full shade corn
2456,8/9/2017 9:30,91.449,51.789,LUX,full shade corn
2457,8/9/2017 10:00,79.963,60.369,LUX,full shade corn
2458,8/9/2017 10:30,82.308,52.454,LUX,full shade corn
2459,8/9/2017 11:00,82.931,51.703,LUX,full shade corn
2460,8/9/2017 11:30,85.532,48.573,LUX,full shade corn
2461,8/9/2017 12:00,83.601,46.653,LUX,full shade corn
2462,8/9/2017 12:30,89.085,41.641,LUX,full shade corn
2463,8/9/2017 13:00,90.75,37.209,LUX,full shade corn
2464,8/9/2017 13:30,89.362,37.605,LUX,full shade corn
2465,8/9/2017 14:00,91.917,33.291,LUX,full shade corn
2466,8/9/2017 14:30,88.259,38.485,LUX,full shade corn
2467,8/9/2017 15:00,87.894,36.716,LUX,full shade corn
2468,8/9/2017 15:30,90.657,36.392,LUX,full shade corn
2469,8/9/2017 16:00,91.917,36.459,LUX,full shade corn
2470,8/9/2017 16:30,89.685,36.205,LUX,full shade corn
2471,8/9/2017 17:00,89.499,36.736,LUX,full shade corn
2472,8/9/2017 17:30,82.575,44.433,LUX,full shade corn
2473,8/9/2017 18:00,79.48,47.665,LUX,full shade corn
2474,8/9/2017 18:30,78.602,50.933,LUX,full shade corn
2475,8/9/2017 19:00,77.16,54.586,LUX,full shade corn
2476,8/9/2017 19:30,75.767,59.448,LUX,full shade corn
2477,8/9/2017 20:00,76.768,58.545,LUX,full shade corn
2478,8/9/2017 20:30,74.034,64.298,LUX,full shade corn
2479,8/9/2017 21:00,67.413,78.67,LUX,full shade corn
2480,8/9/2017 21:30,64.074,86.66,LUX,full shade corn
2481,8/9/2017 22:00,62.577,90.282,LUX,full shade corn
2482,8/9/2017 22:30,61.376,92.052,LUX,full shade corn
2483,8/9/2017 23:00,60.517,93.192,LUX,full shade corn
2484,8/9/2017 23:30,59.959,94.234,LUX,full shade corn
2485,8/10/2017 0:00,59.272,95.017,LUX,full shade corn
2486,8/10/2017 0:30,58.842,95.058,LUX,full shade corn
2487,8/10/2017 1:00,58.152,95.576,LUX,full shade corn
2488,8/10/2017 1:30,57.85,96.251,LUX,full shade corn
2489,8/10/2017 2:00,57.42,96.29,LUX,full shade corn
2490,8/10/2017 2:30,57.549,96.616,LUX,full shade corn
2491,8/10/2017 3:00,57.936,97.287,LUX,full shade corn
2492,8/10/2017 3:30,57.807,97.216,LUX,full shade corn
2493,8/10/2017 4:00,57.765,97.031,LUX,full shade corn
2494,8/10/2017 4:30,57.42,96.98,LUX,full shade corn
2495,8/10/2017 5:00,57.376,97.152,LUX,full shade corn
2496,8/10/2017 5:30,56.383,97.41,LUX,full shade corn
2497,8/10/2017 6:00,55.733,97.465,LUX,full shade corn
2498,8/10/2017 6:30,56.556,97.588,LUX,full shade corn
2499,8/10/2017 7:00,57.074,97.717,LUX,full shade corn
2500,8/10/2017 7:30,59.358,97.448,LUX,full shade corn
2501,8/10/2017 8:00,61.376,95.686,LUX,full shade corn
2502,8/10/2017 8:30,66.13,90.042,LUX,full shade corn
2503,8/10/2017 9:00,68.056,85.229,LUX,full shade corn
2504,8/10/2017 9:30,73.947,76.211,LUX,full shade corn
2505,8/10/2017 10:00,76.246,66.169,LUX,full shade corn
2506,8/10/2017 10:30,80.713,54.426,LUX,full shade corn
2507,8/10/2017 11:00,83.601,48.535,LUX,full shade corn
2508,8/10/2017 11:30,84.99,41.824,LUX,full shade corn
2509,8/10/2017 12:00,87.21,36.275,LUX,full shade corn
2510,8/10/2017 12:30,84.049,42.162,LUX,full shade corn
2511,8/10/2017 13:00,88.947,36.706,LUX,full shade corn
2512,8/10/2017 13:30,83.556,39.65,LUX,full shade corn
2513,8/10/2017 14:00,89.87,35.198,LUX,full shade corn
2514,8/10/2017 14:30,89.132,35.159,LUX,full shade corn
2515,8/10/2017 15:00,92.527,30.743,LUX,full shade corn
2516,8/10/2017 15:30,90.844,29.701,LUX,full shade corn
2517,8/10/2017 16:00,90.612,30.38,LUX,full shade corn
2518,8/10/2017 16:30,89.132,34.141,LUX,full shade corn
2519,8/10/2017 17:00,88.993,32.839,LUX,full shade corn
2520,8/10/2017 17:30,84.317,36.321,LUX,full shade corn
2521,8/10/2017 18:00,80.227,42.189,LUX,full shade corn
2522,8/10/2017 18:30,77.509,46.595,LUX,full shade corn
2523,8/10/2017 19:00,75.508,50.259,LUX,full shade corn
2524,8/10/2017 19:30,74.424,54.118,LUX,full shade corn
2525,8/10/2017 20:00,73.645,57.507,LUX,full shade corn
2526,8/10/2017 20:30,71.231,61.009,LUX,full shade corn
2527,8/10/2017 21:00,69.3,66.305,LUX,full shade corn
2528,8/10/2017 21:30,66.6,76.589,LUX,full shade corn
2529,8/10/2017 22:00,66.429,77.536,LUX,full shade corn
2530,8/10/2017 22:30,68.443,73.088,LUX,full shade corn
2531,8/10/2017 23:00,70.072,68.546,LUX,full shade corn
2532,8/10/2017 23:30,68.742,71.288,LUX,full shade corn
2533,8/11/2017 0:00,67.543,75.151,LUX,full shade corn
2534,8/11/2017 0:30,68.099,74.84,LUX,full shade corn
2535,8/11/2017 1:00,69.427,74.005,LUX,full shade corn
2536,8/11/2017 1:30,63.689,93.826,LUX,full shade corn
2537,8/11/2017 2:00,64.332,96.742,LUX,full shade corn
2538,8/11/2017 2:30,63.946,97.333,LUX,full shade corn
2539,8/11/2017 3:00,64.033,98.25,LUX,full shade corn
2540,8/11/2017 3:30,63.648,98.553,LUX,full shade corn
2541,8/11/2017 4:00,62.362,98.821,LUX,full shade corn
2542,8/11/2017 4:30,62.276,99.064,LUX,full shade corn
2543,8/11/2017 5:00,61.547,99.107,LUX,full shade corn
2544,8/11/2017 5:30,61.419,99.342,LUX,full shade corn
2545,8/11/2017 6:00,61.29,99.577,LUX,full shade corn
2546,8/11/2017 6:30,62.533,99.741,LUX,full shade corn
2547,8/11/2017 7:00,62.834,99.736,LUX,full shade corn
2548,8/11/2017 7:30,63.518,99.764,LUX,full shade corn
2549,8/11/2017 8:00,64.674,99.684,LUX,full shade corn
2550,8/11/2017 8:30,66.043,99.609,LUX,full shade corn
2551,8/11/2017 9:00,66.9,99.481,LUX,full shade corn
2552,8/11/2017 9:30,68.227,99.345,LUX,full shade corn
2553,8/11/2017 10:00,71.317,98.452,LUX,full shade corn
2554,8/11/2017 10:30,74.381,96.148,LUX,full shade corn
2555,8/11/2017 11:00,76.593,93.067,LUX,full shade corn
2556,8/11/2017 11:30,79.128,91.471,LUX,full shade corn
2557,8/11/2017 12:00,83.064,88.207,LUX,full shade corn
2558,8/11/2017 12:30,80.184,74.384,LUX,full shade corn
2559,8/11/2017 13:00,85.307,65.817,LUX,full shade corn
2560,8/11/2017 13:30,81.642,58.617,LUX,full shade corn
2561,8/11/2017 14:00,85.082,53.815,LUX,full shade corn
2562,8/11/2017 14:30,81.066,62.043,LUX,full shade corn
2563,8/11/2017 15:00,82.62,59.418,LUX,full shade corn
2564,8/11/2017 15:30,83.779,57.731,LUX,full shade corn
2565,8/11/2017 16:00,81.333,60.272,LUX,full shade corn
2566,8/11/2017 16:30,80.096,58.922,LUX,full shade corn
2567,8/11/2017 17:00,76.942,62.01,LUX,full shade corn
2568,8/11/2017 17:30,74.813,71.808,LUX,full shade corn
2569,8/11/2017 18:00,76.158,69.189,LUX,full shade corn
2570,8/11/2017 18:30,74.597,67.211,LUX,full shade corn
2571,8/11/2017 19:00,74.295,67.121,LUX,full shade corn
2572,8/11/2017 19:30,71.62,72.059,LUX,full shade corn
2573,8/11/2017 20:00,68.742,73.872,LUX,full shade corn
2574,8/11/2017 20:30,66.472,78.955,LUX,full shade corn
2575,8/11/2017 21:00,64.931,82.875,LUX,full shade corn
