number,date_time,temp,RH,site,treatment
2773,8/9/2017 0:00,57.85,90.903,1,low shade corn
2774,8/9/2017 0:30,56.901,91.923,1,low shade corn
2775,8/9/2017 1:00,55.776,92.493,1,low shade corn
2776,8/9/2017 1:30,54.909,92.759,1,low shade corn
2777,8/9/2017 2:00,53.951,93.37,1,low shade corn
2778,8/9/2017 2:30,53.427,93.141,1,low shade corn
2779,8/9/2017 3:00,52.597,93.535,1,low shade corn
2780,8/9/2017 3:30,52.115,94.207,1,low shade corn
2781,8/9/2017 4:00,51.544,94.073,1,low shade corn
2782,8/9/2017 4:30,51.501,94.703,1,low shade corn
2783,8/9/2017 5:00,51.237,94.893,1,low shade corn
2784,8/9/2017 5:30,51.413,95.35,1,low shade corn
2785,8/9/2017 6:00,51.148,95.21,1,low shade corn
2786,8/9/2017 6:30,50.974,95.791,1,low shade corn
2787,8/9/2017 7:00,51.501,95.869,1,low shade corn
2788,8/9/2017 7:30,53.908,96.481,1,low shade corn
2789,8/9/2017 8:00,57.247,95.906,1,low shade corn
2790,8/9/2017 8:30,61.59,92.95,1,low shade corn
2791,8/9/2017 9:00,66.985,81.403,1,low shade corn
2792,8/9/2017 9:30,71.577,74.964,1,low shade corn
2793,8/9/2017 10:00,76.986,65.697,1,low shade corn
2794,8/9/2017 10:30,81.819,56.878,1,low shade corn
2795,8/9/2017 11:00,84.272,52.219,1,low shade corn
2796,8/9/2017 11:30,88.075,46.302,1,low shade corn
2797,8/9/2017 12:00,91.963,41.782,1,low shade corn
2798,8/9/2017 12:30,90.379,39.646,1,low shade corn
2799,8/9/2017 13:00,87.073,38.92,1,low shade corn
2800,8/9/2017 13:30,96.579,31.622,1,low shade corn
2801,8/9/2017 14:00,97.403,28.146,1,low shade corn
2802,8/9/2017 14:30,97.014,29.768,1,low shade corn
2803,8/9/2017 15:00,95.952,31.489,1,low shade corn
2804,8/9/2017 15:30,91.495,34.703,1,low shade corn
2805,8/9/2017 16:00,89.87,35.74,1,low shade corn
2806,8/9/2017 16:30,89.915,34.589,1,low shade corn
2807,8/9/2017 17:00,89.269,35.505,1,low shade corn
2808,8/9/2017 17:30,86.437,37.041,1,low shade corn
2809,8/9/2017 18:00,85.667,36.999,1,low shade corn
2810,8/9/2017 18:30,83.287,41.191,1,low shade corn
2811,8/9/2017 19:00,82.708,42.343,1,low shade corn
2812,8/9/2017 19:30,79.7,46.648,1,low shade corn
2813,8/9/2017 20:00,76.158,54.098,1,low shade corn
2814,8/9/2017 20:30,73.386,66.044,1,low shade corn
2815,8/9/2017 21:00,69.901,74.519,1,low shade corn
2816,8/9/2017 21:30,66.857,81.219,1,low shade corn
2817,8/9/2017 22:00,64.632,86.024,1,low shade corn
2818,8/9/2017 22:30,63.005,88.035,1,low shade corn
2819,8/9/2017 23:00,61.677,89.52,1,low shade corn
2820,8/9/2017 23:30,60.174,90.06,1,low shade corn
2821,8/10/2017 0:00,59.272,90.994,1,low shade corn
2822,8/10/2017 0:30,58.368,91.867,1,low shade corn
2823,8/10/2017 1:00,57.247,91.553,1,low shade corn
2824,8/10/2017 1:30,56.944,92.346,1,low shade corn
2825,8/10/2017 2:00,55.776,92.597,1,low shade corn
2826,8/10/2017 2:30,55.515,92.949,1,low shade corn
2827,8/10/2017 3:00,55.515,92.871,1,low shade corn
2828,8/10/2017 3:30,54.648,93.47,1,low shade corn
2829,8/10/2017 4:00,54.343,93.53,1,low shade corn
2830,8/10/2017 4:30,53.951,93.576,1,low shade corn
2831,8/10/2017 5:00,54.126,94.679,1,low shade corn
2832,8/10/2017 5:30,54.995,94.909,1,low shade corn
2833,8/10/2017 6:00,54.082,94.519,1,low shade corn
2834,8/10/2017 6:30,54.691,95.069,1,low shade corn
2835,8/10/2017 7:00,53.733,94.391,1,low shade corn
2836,8/10/2017 7:30,54.909,95.05,1,low shade corn
2837,8/10/2017 8:00,58.885,94.443,1,low shade corn
2838,8/10/2017 8:30,63.518,91.077,1,low shade corn
2839,8/10/2017 9:00,66.985,83.989,1,low shade corn
2840,8/10/2017 9:30,69.771,78.518,1,low shade corn
2841,8/10/2017 10:00,76.768,63.947,1,low shade corn
2842,8/10/2017 10:30,77.203,61.88,1,low shade corn
2843,8/10/2017 11:00,82.931,55.012,1,low shade corn
2844,8/10/2017 11:30,88.579,43.104,1,low shade corn
2845,8/10/2017 12:00,91.776,36.044,1,low shade corn
2846,8/10/2017 12:30,90.657,35.137,1,low shade corn
2847,8/10/2017 13:00,94.181,32.853,1,low shade corn
2848,8/10/2017 13:30,92.151,31.002,1,low shade corn
2849,8/10/2017 14:00,93.659,31.14,1,low shade corn
2850,8/10/2017 14:30,91.729,32.082,1,low shade corn
2851,8/10/2017 15:00,96.337,27.926,1,low shade corn
2852,8/10/2017 15:30,92.856,29.099,1,low shade corn
2853,8/10/2017 16:00,89.269,31.142,1,low shade corn
2854,8/10/2017 16:30,92.95,28.444,1,low shade corn
2855,8/10/2017 17:00,89.731,30.168,1,low shade corn
2856,8/10/2017 17:30,89.04,30.72,1,low shade corn
2857,8/10/2017 18:00,84.137,34.9,1,low shade corn
2858,8/10/2017 18:30,81.819,38.654,1,low shade corn
2859,8/10/2017 19:00,79.92,42.235,1,low shade corn
2860,8/10/2017 19:30,77.292,48.026,1,low shade corn
2861,8/10/2017 20:00,75.376,52.59,1,low shade corn
2862,8/10/2017 20:30,72.437,59.528,1,low shade corn
2863,8/10/2017 21:00,68.185,70.001,1,low shade corn
2864,8/10/2017 21:30,66,77.968,1,low shade corn
2865,8/10/2017 22:00,64.247,80.959,1,low shade corn
2866,8/10/2017 22:30,62.704,84.248,1,low shade corn
2867,8/10/2017 23:00,61.977,85.355,1,low shade corn
2868,8/10/2017 23:30,61.506,85.892,1,low shade corn
2869,8/11/2017 0:00,61.506,86.839,1,low shade corn
2870,8/11/2017 0:30,62.406,85.791,1,low shade corn
2871,8/11/2017 1:00,63.304,84.433,1,low shade corn
2872,8/11/2017 1:30,65.574,79.103,1,low shade corn
2873,8/11/2017 2:00,66.344,77.809,1,low shade corn
2874,8/11/2017 2:30,66.943,75.915,1,low shade corn
2875,8/11/2017 3:00,65.574,91.707,1,low shade corn
2876,8/11/2017 3:30,63.819,97.289,1,low shade corn
2877,8/11/2017 4:00,63.903,98.54,1,low shade corn
2878,8/11/2017 4:30,63.347,98.765,1,low shade corn
2879,8/11/2017 5:00,63.518,99.098,1,low shade corn
2880,8/11/2017 5:30,62.577,99.314,1,low shade corn
2881,8/11/2017 6:00,62.62,99.627,1,low shade corn
2882,8/11/2017 6:30,62.362,99.74,1,low shade corn
2883,8/11/2017 7:00,62.233,100,1,low shade corn
2884,8/11/2017 7:30,63.433,100,1,low shade corn
2885,8/11/2017 8:00,64.931,100,1,low shade corn
2886,8/11/2017 8:30,66.772,99.822,1,low shade corn
2887,8/11/2017 9:00,68.999,98.89,1,low shade corn
2888,8/11/2017 9:30,70.416,98.527,1,low shade corn
2889,8/11/2017 10:00,71.231,98.203,1,low shade corn
